Incident_Number,driving_seconds
382513,177
382514,397
382515,967
382516,16
382517,510
382518,534
382519,978
382520,498
382521,174
382522,14
382523,866
382524,9
382525,157
382526,490
382527,687
382528,494
382529,939
382530,769
382531,704
382532,281
382533,394
382534,337
382535,937
382536,910
382537,892
382538,227
382539,431
382540,215
382541,627
382542,985
382543,591
382544,540
382545,336
382546,807
382547,14
382548,803
382549,461
382550,391
382551,516
382552,822
382553,589
382554,803
382555,609
382556,450
382557,453
382558,449
382559,981
382560,731
382561,444
382562,287
382563,753
382564,153
382565,698
382566,804
382567,445
382568,565
382569,666
382570,363
382571,387
382572,462
382573,994
382574,410
382575,714
382576,418
382577,433
382578,630
382580,508
382581,273
382582,111
382583,42
382584,141
382586,858
382587,274
382588,743
382589,917
382590,73
382591,303
382592,848
382593,807
382594,630
382595,668
382596,897
382597,654
382598,160
382600,225
382601,772
382602,973
382603,64
382604,760
382605,68
382606,184
382607,304
382608,218
382609,930
382610,111
382611,116
382612,884
382613,870
382614,557
382615,445
382616,433
382617,533
382618,625
382619,948
382620,624
382621,403
382622,95
382624,35
382626,925
382627,706
382628,519
382629,835
382630,130
382631,646
382632,888
382633,546
382634,140
382635,662
382636,679
382637,47
382638,627
382639,509
382640,160
382641,514
382642,226
382643,207
382644,250
382645,558
382647,370
382648,832
382649,215
382650,382
382651,935
382652,971
382653,691
382654,83
382655,771
382656,707
382658,122
382659,450
382660,3
382661,485
382662,721
382663,255
382664,528
382665,250
382666,333
382667,720
382668,947
382669,840
382670,489
382671,620
382672,737
382673,418
382674,246
382675,783
382676,962
382677,268
382678,679
382680,988
382681,953
382682,993
382683,881
382684,665
382685,344
382686,436
382688,899
382689,759
382690,419
382692,583
382693,372
382694,872
382695,670
382696,383
382697,362
382698,610
382699,155
382700,900
382701,381
382702,564
382703,557
382704,313
382705,233
382706,265
382707,268
382708,94
382709,145
382710,335
382711,251
382712,553
382713,851
382714,201
382716,276
382717,295
382718,858
382719,748
382720,348
382721,259
382722,691
382724,916
382725,58
382726,719
382727,418
382728,795
382729,514
382730,416
382731,37
382732,221
382733,121
382734,919
382735,523
382736,416
382737,919
382738,892
382739,300
382740,264
382741,550
382742,439
382743,488
382744,562
382745,16
382747,177
382748,573
382749,814
382750,5
382751,834
382752,160
382753,460
382754,881
382755,737
382756,793
382757,823
382759,532
382760,540
382761,525
382762,951
382763,227
382764,975
382765,798
382766,585
382767,902
382768,292
382769,930
382770,759
382771,717
382772,568
382773,331
382774,213
382775,982
382776,50
382777,342
382778,376
382779,569
382780,79
382781,87
382782,787
382783,56
382784,38
382785,706
382786,531
382787,235
382788,734
382789,614
382790,696
382791,521
382792,86
382793,872
382794,394
382795,15
382796,474
382797,251
382798,517
382799,981
382800,303
382801,903
382802,322
382803,908
382804,694
382805,796
382806,122
382807,36
382808,951
382809,69
382810,689
382811,722
382812,214
382813,483
382814,345
382815,981
382816,497
382817,129
382818,967
382819,317
382820,660
382821,916
382822,588
382823,599
382824,429
382825,511
382826,375
382827,673
382828,243
382829,989
382830,555
382832,763
382833,479
382834,454
382835,352
382836,52
382837,483
382838,18
382840,968
382841,652
382842,845
382843,648
382844,828
382845,417
382846,600
382847,325
382848,241
382849,554
382850,916
382851,384
382853,665
382854,514
382855,320
382856,550
382857,272
382858,283
382859,715
382860,451
382861,277
382862,951
382863,400
382864,121
382865,876
382866,507
382867,499
382868,779
382869,639
382870,830
382872,672
382873,198
382874,674
382875,229
382876,854
382877,825
382878,815
382879,671
382880,914
382881,852
382882,527
382883,502
382885,634
382886,225
382887,124
382888,727
382889,583
382890,55
382892,488
382893,911
382894,573
382895,470
382896,950
382897,65
382898,143
382899,32
382900,80
382901,853
382902,414
382903,236
382904,282
382905,719
382906,69
382907,911
382908,223
382909,479
382910,354
382911,225
382912,827
382913,722
382914,818
382915,908
382916,569
382917,950
382918,198
382919,412
382920,384
382921,911
382922,920
382923,366
382924,695
382925,312
382926,315
382927,231
382928,435
382929,229
382930,364
382931,619
382932,224
382933,235
382934,900
382935,49
382936,505
382937,42
382938,876
382939,178
382940,808
382941,215
382942,358
382943,437
382944,439
382945,196
382946,850
382947,691
382948,987
382949,344
382950,575
382951,478
382952,422
382953,903
382954,571
382955,22
382956,805
382957,27
382959,968
382960,112
382961,93
382962,827
382963,378
382964,6
382965,889
382966,742
382967,426
382968,98
382969,634
382970,434
382971,412
382972,395
382973,293
382974,666
382975,561
382976,436
382977,968
382978,972
382979,307
382980,693
382981,180
382982,447
382983,161
382984,463
382985,813
382986,412
382987,771
382988,27
382989,580
382990,402
382991,243
382992,303
382993,99
382994,41
382995,949
382996,403
382997,202
382998,591
382999,997
383000,440
383001,495
383002,67
383003,843
383004,373
383005,603
383006,444
383007,377
383008,986
383009,497
383010,516
383011,315
383012,188
383014,570
383015,236
383016,922
383017,406
383018,552
383019,69
383020,918
383021,595
383022,726
383023,821
383024,768
383025,875
383026,464
383027,915
383028,972
383029,275
383030,897
383031,319
383032,319
383033,941
383034,396
